"","X","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","rawdat","X170410_Blk_FilterBlk_A","X170410_Blk_FilterBlk_B","X170410_Poo_April11AqExtractsFull_1","X170410_Poo_April11AqExtractsFull_2","X170410_Poo_April11AqExtractsFull_3","X170410_Poo_April11AqExtractsHalf_1","X170410_Poo_April11AqExtractsHalf_2","X170410_Poo_April11AqExtractsHalf_3","X170410_Smp_KM1513.125m_A","X170410_Smp_KM1513.125m_B","X170410_Smp_KM1513.125m_C","X170410_Smp_KM1513.15m_A","X170410_Smp_KM1513.15m_B","X170410_Smp_KM1513.15m_C","X170410_Smp_KM1513.45m_A","X170410_Smp_KM1513.45m_B","X170410_Smp_KM1513.45m_C","X170410_Smp_KM1513.75m_A","X170410_Smp_KM1513.75m_B","X170410_Smp_KM1513.75m_C","MassFeature","groupname","RT","Fraction","AveBlank","AveSmp","AvePoo"
"2121",23851,707.075919468107,707.07549807573,707.076116126033,594.601593017578,588.473754882812,609.836486816406,6,5,0,0,29654610.0948095,24057220.8409249,22938957.3365536,26356793.1076104,27033933.30645,25211383.5945091,36061605.3632142,23470499.8820585,24544885.8717041,29473535.5417409,26663627.558047,23960497.1438026,26710240.5727081,26971931.4331563,17744691.9374999,19740526.6679167,25057708.8906313,25292592.0660028,"I707.0759R9.91","M707T595",9.91002655029297,"HILICPos",0,25474361.9107069,25875483.0468096
"2122",23852,707.075876301538,707.075531358735,707.076323315909,554.735107421875,532.681274414062,581.6494140625,29,17,0,0,18987132.6232143,20729412.4304271,18791779.494044,56943643.6190424,46773279.7264897,38707612.1101318,65946128.4653163,28215622.9156723,67848422.1565543,93584433.7751477,84126040.461696,44053466.1619033,17092270.9141346,21795886.1562646,47086221.2295312,20986785.5901736,4789851.19908758,27712593.6885396,"I707.0759R9.25","M707T555",9.24558512369792,"HILICPos",0,43603143.5595018,33488810.0005582
"2123",23853,707.075946065992,707.075795855994,707.076379863493,523.168609619141,517.436584472656,529.124877929688,6,6,0,0,2424427.18250004,7225097.76923077,12122408.8534236,8998420.24066925,7691470.3246638,7982586.90696253,13829235.9270029,11459311.3564253,16280290.4458089,12745087.5256543,11850604.7349205,10372178.5756226,20190380.7368846,13988969.9173282,12025490.1987324,10555628.1895391,10685742.6967813,13048675.9422582,"I707.0759R8.72","M707T523",8.71947682698568,"HILICPos",0,13085966.3539132,7740735.21290833
"2124",23866,708.07326811201,708.072624589396,708.0737430979,532.713012695312,523.184997558594,542.079833984375,5,4,0,0,1008636.3850509,826269.041521847,1225294.32451172,718832.73893812,489523.610545419,704911.301440001,1018097.91262385,803792.342706779,891185.621256127,666982.870505613,521591.98929009,483123.720730164,953651.287196785,990719.02411719,979422.001204035,832961.342145312,501266.897616357,993334.541814503,"I708.0733R8.88","M708T533",8.87855021158854,"HILICPos",0,803010.7959339,828911.233668001
"2125",23885,709.072736341581,709.072403633692,709.073181829854,551.374938964844,537.930053710938,574.545715332031,25,17,0,0,156394081.556266,269138623.968195,72481606.6690332,264761831.795261,61275497.9877504,71030486.8736718,170440969.722327,72499180.7464118,251090972.37766,343242454.350045,356268853.767907,232061995.295487,60718578.020909,143070641.72225,105316301.185369,66862606.0801174,71992732.4435,143462759.172802,"I709.0727R9.19","M709T551",9.18958231608073,"HILICPos",0,168085670.407065,149180354.808363
"2126",23887,709.072768178679,709.072391945602,709.073383465977,525.980712890625,514.558,532.138305664062,12,11,0,0,86148357.3589239,62262231.6712716,74717239.2050954,54557611.5942827,28931214.7242814,34149222.8357344,80954295.2234086,111001386.624074,56064918.2680418,77455742.0699158,66622597.5837578,64474949.5727433,138506025.792557,67511590.621412,60551076.3667499,65576306.2106546,63496305.9826298,119251969.490383,"I709.0728R8.77","M709T526",8.76634521484375,"HILICPos",0,80955596.9838606,56794312.8982649
"2127",23888,709.072584372568,709.07245390241,709.072989747491,590.343078613281,585.88427734375,607.548706054688,7,6,0,0,115090262.913395,88845491.412028,90844598.4995972,96582268.7184387,22223854.333333,91790374.0247803,255113054.17454,15646263.6452501,89046761.225057,101133875.203254,97691258.2662877,93526494.8876322,103144586.42041,102575534.972667,107367949.919999,286228045.943344,78431141.2135383,88827274.043514,"I709.0726R9.84","M709T590",9.83905131022135,"HILICPos",0,118227686.659624,84229474.9835954
"2128",23889,709.073147483394,709.07275754294,709.073570815496,502.053588867188,492.941833496094,503.80126953125,4,4,6422358.21300215,6406364.07551993,36222647.7592043,16440914.7274376,14998961.1846072,11620193.5646046,7690373.85786855,12194156.3023422,31355926.1182275,24292550.8347662,25128322.8756892,29405911.8221585,21793071.3061072,19366333.5555582,35494912.3270995,31357948.1094688,20628988.9078175,11545778.1635362,12713376.1581165,34063337.0692501,"I709.0731R8.37","M709T502",8.36755981445313,"HILICPos",6414361.14426104,24762204.7706496,16527874.5660107
"2129",23901,710.070795261568,710.070424991581,710.071201010745,548.667327880859,541.083068847656,557.311,12,12,0,0,20789154.7242371,10633255.1024303,7150396.69231874,15814520.977562,9886150.92997593,8798128.29877756,11566957.9407823,12551970.5688015,13796166.765605,16018430.5505909,24376405.8214797,5530207.12492678,16008233.5149544,9926203.41011717,14598227.0098363,11827487.6676066,11382424.799297,8503143.09218466,"I710.0708R9.14","M710T549",9.14445546468099,"HILICPos",0,13007154.8555152,12178601.1208836
"2130",23902,710.07044579237,710.069954754608,710.071198492964,501.507629394531,494.723,505.175933837891,9,9,321097.237784217,353733.554949334,2026825.64252191,739754.207211745,2757737.99273663,581746.846213897,421350.008643514,657732.034865022,1970112.09822242,1255475.33370796,1521205.26368037,3564984.38303956,1193883.36484256,1122655.32599391,2118437.3796849,734426.293002483,1183396.38478025,608381.110644902,663519.280005321,2477112.89980078,"I710.0704R8.36","M710T502",8.35846048990885,"HILICPos",337415.396366776,1534465.75978378,1197524.45536545
