,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Height,IR,S.N,Run.Cmpd,runDate,type,SampID,replicate,13C Acetyl CoA.Norm.Area,13C-Isethionic Acid.Norm.Area,13C-Sulfoacetic Acid.Norm.Area,13C-Sulfolactic Acid.Norm.Area,d3-Cysteic Acid.Norm.Area,d4 Succinic Acid.Norm.Area,d4 Taurine.Norm.Area,D-Methionine.Norm.Area,Heavy Alanine.Norm.Area,Heavy Histidine.Norm.Area,Heavy Isoleucine.Norm.Area,PooModel.IS,SmpModel.IS,PooPlusModel.IS,PooModel,SmpModel,PooPlusModel
24,160802_Smp_Tp_56,Ketoglutaric Acid,12.39,,3577522,253965,7.883564164,396.699812,160802_Smp_Tp_56 Ketoglutaric Acid,160802,Smp,Tp,56,2985019.885,3039581.764,3040742.203,4062850.495,2931490.189,3461563.366,3802929.169,5144089.133,2988975.477,3891094.04,4443687.257,D-Methionine.Norm.Area,Heavy Histidine.Norm.Area,D-Methionine.Norm.Area,5144089.133,3891094.04,5144089.133
25,160802_Poo_0801PooledDiatoms_1,Sarcosine,10.49,,9154462,694283,3108.476061,740.6349681,160802_Poo_0801PooledDiatoms_1 Sarcosine,160802,Poo,0801PooledDiatoms,1,7450695.172,7191826.21,6764698.4,7161938.351,6466727.061,9153892.217,9442390.183,9837813.947,8945158.248,6609093.907,14760635.52,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,7191826.21,6609093.907,7191826.21
26,160802_Poo_0801PooledDiatoms_2,Sarcosine,10.525,,8613185,629702,2803.771159,1083.874654,160802_Poo_0801PooledDiatoms_2 Sarcosine,160802,Poo,0801PooledDiatoms,2,6068508.562,6770181.069,6144289.564,7132382.895,8957862.603,9811107.346,9392187.035,9140906.789,8165875.834,5971253.097,12819665.97,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,6770181.069,5971253.097,6770181.069
27,160802_Poo_0801PooledDiatoms_3,Sarcosine,10.475,,10019797,756368,6003.473337,185.4281507,160802_Poo_0801PooledDiatoms_3 Sarcosine,160802,Poo,0801PooledDiatoms,3,8273514.71,7409122.605,6004557.908,7968579.091,7079765.247,7765922.995,10454349.28,10986813.75,8695558.777,6227765.614,14805137.65,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,7409122.605,6227765.614,7409122.605
28,160802_Smp_Np_12,Sarcosine,10.55,comparable to blk,NA,16810,Inf,Inf,160802_Smp_Np_12 Sarcosine,160802,Smp,Np,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,NA,NA,NA
29,160802_Smp_Np_34,Sarcosine,10.35,comparable to blk,NA,4855,Inf,Inf,160802_Smp_Np_34 Sarcosine,160802,Smp,Np,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,NA,NA,NA
30,160802_Smp_Np_56,Sarcosine,10.245,comparable to blkbad S/N,NA,9999,Inf,2.822702018,160802_Smp_Np_56 Sarcosine,160802,Smp,Np,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,NA,NA,NA
31,160802_Smp_Pt_12,Sarcosine,10.545,,9887673,764499,17880.05967,249.0724823,160802_Smp_Pt_12 Sarcosine,160802,Smp,Pt,12,14739120.68,12793235.77,13343671.17,8441978.635,11341465.21,10308825.69,8047314.426,16379172.75,13088754.97,11866914.97,14817978.58,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,12793235.77,11866914.97,12793235.77
32,160802_Smp_Pt_34,Sarcosine,10.5,,16536372,1266493,6627.804409,115.9876365,160802_Smp_Pt_34 Sarcosine,160802,Smp,Pt,34,17271370.78,20739496.08,16716591.72,15170427.25,17760791.56,18489071.82,19059127.37,24049633.04,21693801.62,14684011.43,18986962.19,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,20739496.08,14684011.43,20739496.08
33,160802_Smp_Pt_56,Sarcosine,10.485,,18887712,1532128,4802.367658,173.1117176,160802_Smp_Pt_56 Sarcosine,160802,Smp,Pt,56,19717192.17,20215462.55,21196355.1,16248662.78,14074797.96,17058403.45,18280165.28,28824104.29,20876692.22,13599994.88,24303661.21,13C-Isethionic Acid.Norm.Area,Heavy Histidine.Norm.Area,13C-Isethionic Acid.Norm.Area,20215462.55,13599994.88,20215462.55
