"","Compound.Name","type","SampID","Normer","m","sd","rsd","Poo.Picked.IS","PooPlus.IS"
"42","13C-Isethionic Acid","Smp","32ppt4C","d4 Taurine.Norm.Area",5869865.85905309,210042.280859343,0.0357831483551528,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"43","13C-Isethionic Acid","Smp","32ppt4C","Heavy Alanine.Norm.Area",6154341.55404774,152153.804216818,0.0247230029208804,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"44","13C-Isethionic Acid","Smp","32ppt4C","Heavy Histidine.Norm.Area",7692749.33355356,630356.261322366,0.0819416094286256,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"45","13C-Isethionic Acid","Smp","32ppt4C","Heavy Isoleucine.Norm.Area",5479696.26095517,162037.333284016,0.0295704954376012,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"46","13C-Isethionic Acid","Smp","32ppt4C","Heavy Proline.Norm.Area",4950101.36209967,454166.756453167,0.0917489811280399,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"47","13C-Isethionic Acid","Smp","32ppt4C","Heavy Valine.Norm.Area",4906211.59842222,408391.393457515,0.083239661654391,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"48","13C-Isethionic Acid","Smp","32ppt4C","inj.vol.Norm.Area",6270363.33333333,118879.365553208,0.0189589277739687,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"49","13C-Isethionic Acid","Smp","40ppt-1C","13C-Isethionic Acid.Norm.Area",5940104.22222222,0,0,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"50","13C-Isethionic Acid","Smp","40ppt-1C","13C-Sulfoacetic Acid.Norm.Area",7682748.74779051,838065.70737682,0.109084096706643,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"51","13C-Isethionic Acid","Smp","40ppt-1C","13C-Sulfolactic Acid.Norm.Area",6363008.70565121,278094.564205489,0.0437048850740223,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"52","13C-Isethionic Acid","Smp","40ppt-1C","13C Acetyl CoA.Norm.Area",5733956.22065553,817714.609832666,0.142609147744623,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"53","13C-Isethionic Acid","Smp","40ppt-1C","15N AMP.Norm.Area",5871572.71616824,288028.44569631,0.0490547353527925,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"54","13C-Isethionic Acid","Smp","40ppt-1C","15N GMP.Norm.Area",6153597.00908906,1369656.92316439,0.222578261322826,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"55","13C-Isethionic Acid","Smp","40ppt-1C","D-Methionine.Norm.Area",6215448.36801454,1110531.86566044,0.178672848667745,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"56","13C-Isethionic Acid","Smp","40ppt-1C","d3-Cysteic Acid.Norm.Area",5392174.17054369,330848.927177393,0.0613572404587284,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"57","13C-Isethionic Acid","Smp","40ppt-1C","d4 Succinic Acid.Norm.Area",5677317.9553961,418618.512638951,0.0737352594883413,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"58","13C-Isethionic Acid","Smp","40ppt-1C","d4 Taurine.Norm.Area",5657674.0165479,576953.633149083,0.101977178512154,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"59","13C-Isethionic Acid","Smp","40ppt-1C","Heavy Alanine.Norm.Area",5716649.54764953,975929.45645317,0.170717034220584,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"60","13C-Isethionic Acid","Smp","40ppt-1C","Heavy Histidine.Norm.Area",5550424.00224209,733871.628379498,0.132219021120378,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"61","13C-Isethionic Acid","Smp","40ppt-1C","Heavy Isoleucine.Norm.Area",4976596.57591086,592679.46935405,0.11909333222285,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"62","13C-Isethionic Acid","Smp","40ppt-1C","Heavy Proline.Norm.Area",8174020.92192751,1226830.33919467,0.150088964894082,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"63","13C-Isethionic Acid","Smp","40ppt-1C","Heavy Valine.Norm.Area",6652957.36681062,960642.312284932,0.14439327645135,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"64","13C-Isethionic Acid","Smp","40ppt-1C","inj.vol.Norm.Area",6291275.33333333,765921.151295832,0.12174338440375,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"65","13C-Isethionic Acid","Smp","40ppt4C","13C-Isethionic Acid.Norm.Area",5940104.22222222,0,0,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"66","13C-Isethionic Acid","Smp","40ppt4C","13C-Sulfoacetic Acid.Norm.Area",7764428.30332644,1328103.62625416,0.171049763661953,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"67","13C-Isethionic Acid","Smp","40ppt4C","13C-Sulfolactic Acid.Norm.Area",5126719.7280246,559179.604596686,0.109071615820931,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"68","13C-Isethionic Acid","Smp","40ppt4C","13C Acetyl CoA.Norm.Area",5752511.45957118,221826.850092822,0.038561739798665,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"69","13C-Isethionic Acid","Smp","40ppt4C","15N AMP.Norm.Area",5869828.36291987,173097.447340652,0.0294893541409356,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"70","13C-Isethionic Acid","Smp","40ppt4C","15N GMP.Norm.Area",6032829.59680523,261715.290037444,0.0433818469157556,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"71","13C-Isethionic Acid","Smp","40ppt4C","D-Methionine.Norm.Area",6803015.3929443,2356004.70138555,0.346317708442798,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"72","13C-Isethionic Acid","Smp","40ppt4C","d3-Cysteic Acid.Norm.Area",6405405.5587953,270602.013830779,0.0422458830041157,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
"73","13C-Isethionic Acid","Smp","40ppt4C","d4 Succinic Acid.Norm.Area",5886300.51248089,695043.127296784,0.118078090954253,"inj.vol.Norm.Area","13C-Isethionic Acid.Norm.Area"
